model,down_sample_rate,feature_selection,accuracy_overall,accuracy_N,accuracy_L,accuracy_R,accuracy_B,false_positives,misclassifications,num_events
SVM #4: Sigmoid,1,none,0.6221815965874467,0.8474432420963293,0.2900469884664673,0.1712328767123287,0.1831831831831832,89,427,813
SVM #4: Sigmoid,1,none,0.6192023833705735,0.8556121366433269,0.259718069201196,0.1626712328767123,0.1381381381381381,83,441,813
SVM #4: Sigmoid,1,none,0.6041031891123299,0.8335455124124761,0.2678342588637334,0.1532534246575342,0.1201201201201201,72,466,813
SVM #4: Sigmoid,1,none,0.5987541472002167,0.8221939316783365,0.2234087996582657,0.192208904109589,0.1816816816816817,89,451,813
SVM #4: Sigmoid,1,none,0.614056469632338,0.8368342881391895,0.2498932080307561,0.2123287671232876,0.1501501501501501,92,436,813
KNN #1: K = 4,1,none,0.9174622520143544,0.9590494377254404,0.8334045279794959,0.8634417808219178,0.8138138138138138,5,22,813
KNN #1: K = 4,1,none,0.9214571061006162,0.963505198387439,0.849209739427595,0.8561643835616438,0.8093093093093093,4,20,813
KNN #1: K = 4,1,none,0.917665380188232,0.9604286017398684,0.8385305425032038,0.853595890410959,0.8153153153153153,6,23,813
KNN #1: K = 4,1,none,0.9175299614056468,0.9620199448334394,0.8304143528406663,0.8587328767123288,0.8003003003003003,7,25,813
KNN #1: K = 4,1,none,0.9212539779267384,0.961595586675154,0.8551900897052541,0.855736301369863,0.8123123123123123,6,19,813
KNN #1: K = 4,1,none,0.9192904055792538,0.960852959898154,0.841947885519009,0.8613013698630136,0.8063063063063063,7,23,813
KNN #1: K = 4,1,none,0.918816439840206,0.9618077657542966,0.8415207176420333,0.853595890410959,0.8108108108108109,4,23,813
KNN #1: K = 4,1,none,0.919087277405376,0.9621260343730108,0.8415207176420333,0.8574486301369864,0.7987987987987988,5,22,813
KNN #1: K = 4,1,none,0.920847721578983,0.961913855293868,0.8543357539513029,0.8544520547945206,0.8063063063063063,5,23,813
KNN #1: K = 4,1,none,0.919425824361839,0.9593677063441544,0.8462195642887654,0.863013698630137,0.8093093093093093,5,19,813
KNN #2: K = 5,1,none,0.9219987812309568,0.9399533206025886,0.8897906877402819,0.9028253424657534,0.8483483483483484,4,18,813
KNN #2: K = 5,1,none,0.9274155325343624,0.9452577975811584,0.9098675779581376,0.8976883561643836,0.8408408408408409,6,16,813
KNN #2: K = 5,1,none,0.9253842507955854,0.943242096329302,0.9051687313114054,0.8994006849315068,0.8348348348348348,7,17,813
KNN #2: K = 5,1,none,0.9238946441871488,0.9415446636961596,0.8987612131567706,0.9019691780821918,0.8393393393393394,7,15,813
KNN #2: K = 5,1,none,0.9259936353172185,0.9423933800127308,0.9038872276804784,0.9053938356164384,0.8438438438438438,6,16,813
KNN #2: K = 5,1,none,0.9243686099261968,0.940589857840017,0.9008970525416488,0.9075342465753424,0.8363363363363363,7,17,813
KNN #2: K = 5,1,none,0.9256550883607556,0.9450456185020156,0.895771038017941,0.901541095890411,0.8408408408408409,6,17,813
KNN #2: K = 5,1,none,0.9240977723610264,0.9419690218544452,0.8961982058949167,0.9049657534246576,0.8363363363363363,6,17,813
KNN #2: K = 5,1,none,0.925925925925926,0.9436664544875876,0.9090132422041862,0.8998287671232876,0.8258258258258259,6,17,813
KNN #2: K = 5,1,none,0.9239623535784414,0.9406959473795884,0.8996155489107219,0.9075342465753424,0.8303303303303303,6,17,813
KNN #3: K = 6,1,none,0.9202383370573498,0.9555484829195842,0.8539085860743272,0.875,0.8123123123123123,5,21,813
KNN #3: K = 6,1,none,0.9243686099261968,0.9585189900275832,0.8752669799231098,0.8672945205479452,0.8138138138138138,5,19,813
KNN #3: K = 6,1,none,0.9219987812309568,0.9592616168045832,0.8637334472447672,0.8617294520547946,0.8108108108108109,6,26,813
KNN #3: K = 6,1,none,0.9224727469700048,0.9590494377254404,0.8611704399829133,0.8685787671232876,0.8093093093093093,6,23,813
KNN #3: K = 6,1,none,0.9243686099261968,0.9579885423297264,0.8748398120461341,0.8715753424657534,0.8078078078078078,6,22,813
KNN #3: K = 6,1,none,0.924030062969734,0.957352005092298,0.8722768047842803,0.8758561643835616,0.8033033033033034,5,19,813
KNN #3: K = 6,1,none,0.9217279436657864,0.9594737958837258,0.8539085860743272,0.8707191780821918,0.8048048048048048,5,28,813
KNN #3: K = 6,1,none,0.921795653057079,0.9600042435815828,0.8568987612131568,0.8660102739726028,0.8048048048048048,7,26,813
KNN #3: K = 6,1,none,0.9234206784481008,0.9591555272650116,0.8692866296454507,0.8707191780821918,0.7927927927927928,5,25,813
KNN #3: K = 6,1,none,0.9218633624483716,0.9561850201570126,0.8680051260145237,0.870291095890411,0.8063063063063063,4,24,813
KNN #4: K = 7,1,none,0.9229467127090528,0.9420751113940166,0.8914993592481846,0.903681506849315,0.8303303303303303,6,20,813
KNN #4: K = 7,1,none,0.9250457038391224,0.9437725440271588,0.9013242204186244,0.8998287671232876,0.8318318318318318,6,17,813
KNN #4: K = 7,1,none,0.9264676010562664,0.9445151708041588,0.9021785561725758,0.9058219178082192,0.8288288288288288,6,20,813
KNN #4: K = 7,1,none,0.9233529690568082,0.940589857840017,0.898334045279795,0.9053938356164384,0.8303303303303303,8,19,813
KNN #4: K = 7,1,none,0.9261290540998036,0.9426055590918736,0.906877402819308,0.90625,0.8303303303303303,8,18,813
KNN #4: K = 7,1,none,0.9253842507955854,0.943242096329302,0.9013242204186244,0.9045376712328768,0.8303303303303303,7,18,813
KNN #4: K = 7,1,none,0.9259936353172185,0.9452577975811584,0.8987612131567706,0.9049657534246576,0.8228228228228228,7,20,813
KNN #4: K = 7,1,none,0.9259936353172185,0.9441969021854444,0.8996155489107219,0.9045376712328768,0.8363363363363363,7,18,813
KNN #4: K = 7,1,none,0.9262644728823888,0.9440908126458732,0.9030328919265272,0.9079623287671232,0.8198198198198198,6,20,813
KNN #4: K = 7,1,none,0.9226758751438824,0.9408020369191598,0.895771038017941,0.9028253424657534,0.8303303303303303,6,19,813
KNN #5: K = 8,1,none,0.9205768840138128,0.9548058561425844,0.8598889363519864,0.8762842465753424,0.8048048048048048,5,22,813
KNN #5: K = 8,1,none,0.9238946441871488,0.9580946318692976,0.8692866296454507,0.8754280821917808,0.8018018018018018,5,23,813
KNN #5: K = 8,1,none,0.9229467127090528,0.9569276469340124,0.8667236223835968,0.877568493150685,0.7987987987987988,6,27,813
KNN #5: K = 8,1,none,0.9228112939264675,0.9557606619987268,0.8688594617684751,0.8771404109589042,0.8063063063063063,5,21,813
KNN #5: K = 8,1,none,0.9243686099261968,0.9578824527901548,0.8667236223835968,0.8792808219178082,0.8108108108108109,5,25,813
KNN #5: K = 8,1,none,0.9249102850565374,0.9563971992361552,0.8752669799231098,0.8801369863013698,0.8108108108108109,5,20,813
KNN #5: K = 8,1,none,0.9213893967093236,0.9567154678548696,0.8624519436138403,0.8732876712328768,0.7972972972972973,5,27,813
KNN #5: K = 8,1,none,0.9232852596655156,0.9575641841714408,0.8688594617684751,0.8771404109589042,0.7912912912912913,5,25,813
KNN #5: K = 8,1,none,0.922743584535175,0.9555484829195842,0.8705681332763776,0.8784246575342466,0.7972972972972973,6,24,813
KNN #5: K = 8,1,none,0.9230144221003452,0.9563971992361552,0.8714224690303289,0.8762842465753424,0.7957957957957958,5,26,813
KNN #6: K = 9,1,none,0.92260816575259,0.9434542754084448,0.8876548483554036,0.901541095890411,0.8243243243243243,7,19,813
KNN #6: K = 9,1,none,0.9258582165346334,0.9457882452790156,0.9017513882956002,0.8972602739726028,0.8288288288288288,6,18,813
KNN #6: K = 9,1,none,0.9266030198388516,0.9461065138977296,0.9017513882956002,0.9049657534246576,0.8138138138138138,7,23,813
KNN #6: K = 9,1,none,0.925451960186878,0.9444090812645872,0.9034600598035027,0.898972602739726,0.8273273273273273,7,17,813
KNN #6: K = 9,1,none,0.92734782314307,0.945682155739444,0.9090132422041862,0.8994006849315068,0.8303303303303303,6,18,813
KNN #6: K = 9,1,none,0.9238269347958562,0.9420751113940166,0.8974797095258437,0.903681506849315,0.8288288288288288,7,19,813
KNN #6: K = 9,1,none,0.924030062969734,0.9449395289624444,0.9004698846646733,0.8946917808219178,0.8138138138138138,7,21,813
KNN #6: K = 9,1,none,0.9253842507955854,0.9444090812645872,0.8979068774028193,0.9045376712328768,0.8258258258258259,7,18,813
KNN #6: K = 9,1,none,0.9244363193174894,0.9440908126458732,0.9004698846646733,0.8981164383561644,0.8228228228228228,6,21,813
KNN #6: K = 9,1,none,0.9221342000135418,0.9413324846170168,0.8979068774028193,0.9002568493150684,0.8123123123123123,9,24,813
KNN #7: K = 10,1,none,0.9211185591441532,0.9526840653511564,0.8671507902605724,0.8809931506849316,0.8048048048048048,6,22,813
KNN #7: K = 10,1,none,0.9249102850565374,0.9560789306174412,0.8808201623237932,0.8762842465753424,0.8093093093093093,6,21,813
KNN #7: K = 10,1,none,0.9243009005349042,0.9557606619987268,0.8748398120461341,0.8831335616438356,0.7972972972972973,6,27,813
KNN #7: K = 10,1,none,0.9234206784481008,0.954169318905156,0.881247330200769,0.8767123287671232,0.8003003003003003,7,21,813
KNN #7: K = 10,1,none,0.9255873789694632,0.9569276469340124,0.8769756514310124,0.8835616438356164,0.8003003003003003,6,25,813
KNN #7: K = 10,1,none,0.9236238066219784,0.953426692128156,0.8735583084152072,0.886986301369863,0.8063063063063063,6,22,813
KNN #7: K = 10,1,none,0.923217550274223,0.9561850201570126,0.8709953011533532,0.8779965753424658,0.7987987987987988,7,26,813
KNN #7: K = 10,1,none,0.9270092761866072,0.9577763632505836,0.8821016659547202,0.8839897260273972,0.8003003003003003,5,21,813
KNN #7: K = 10,1,none,0.9238946441871488,0.9543814979842988,0.8821016659547202,0.8809931506849316,0.7897897897897898,6,25,813
KNN #7: K = 10,1,none,0.924030062969734,0.9528962444302992,0.8833831695856471,0.8852739726027398,0.7942942942942943,7,21,813
KNN #8: K = 11,1,none,0.9224727469700048,0.9441969021854444,0.887227680478428,0.8985445205479452,0.8228228228228228,8,19,813
KNN #8: K = 11,1,none,0.9246394474913672,0.9438786335667304,0.9026057240495516,0.8985445205479452,0.8213213213213213,8,19,813
KNN #8: K = 11,1,none,0.9257227977520482,0.9455760661998728,0.8996155489107219,0.9028253424657534,0.8168168168168168,7,21,813
KNN #8: K = 11,1,none,0.924165481752319,0.9445151708041588,0.9008970525416488,0.8972602739726028,0.8123123123123123,8,20,813
KNN #8: K = 11,1,none,0.9260613447085112,0.9455760661998728,0.898334045279795,0.9053938356164384,0.8198198198198198,7,19,813
KNN #8: K = 11,1,none,0.9243009005349042,0.9431360067897304,0.8961982058949167,0.9053938356164384,0.8228228228228228,9,19,813
KNN #8: K = 11,1,none,0.9244363193174894,0.9434542754084448,0.9034600598035027,0.901541095890411,0.8093093093093093,9,22,813
KNN #8: K = 11,1,none,0.9250457038391224,0.9451517080415872,0.8987612131567706,0.901541095890411,0.8153153153153153,7,21,813
KNN #8: K = 11,1,none,0.9236238066219784,0.942711648631445,0.8991883810337462,0.901541095890411,0.8168168168168168,8,22,813
KNN #8: K = 11,1,none,0.9250457038391224,0.9437725440271588,0.9017513882956002,0.9041095890410958,0.8153153153153153,9,21,813
KNN #9: K = 12,1,none,0.9210508497528608,0.9521536176532994,0.8722768047842803,0.8831335616438356,0.7852852852852853,6,23,813
KNN #9: K = 12,1,none,0.923082131491638,0.9543814979842988,0.8761213156770611,0.8839897260273972,0.7822822822822822,8,23,813
KNN #9: K = 12,1,none,0.9243686099261968,0.9537449607468704,0.8778299871849637,0.8904109589041096,0.7912912912912913,6,25,813
KNN #9: K = 12,1,none,0.9228790033177602,0.9545936770634416,0.8744126441691584,0.8814212328767124,0.7897897897897898,7,24,813
KNN #9: K = 12,1,none,0.9226758751438824,0.9543814979842988,0.8731311405382315,0.8818493150684932,0.7912912912912913,6,26,813
KNN #9: K = 12,1,none,0.924165481752319,0.9527901548907278,0.8778299871849637,0.8925513698630136,0.7927927927927928,8,25,813
KNN #9: K = 12,1,none,0.9242331911436116,0.9537449607468704,0.881247330200769,0.884845890410959,0.7957957957957958,8,23,813
KNN #9: K = 12,1,none,0.9240977723610264,0.9533206025885848,0.8799658265698419,0.8878424657534246,0.7927927927927928,5,22,813
KNN #9: K = 12,1,none,0.924504028708782,0.9516231699554424,0.888509184109355,0.8874143835616438,0.7972972972972973,7,23,813
KNN #9: K = 12,1,none,0.9231498408829304,0.9522597071928708,0.8782571550619394,0.8904109589041096,0.7837837837837838,8,25,813
Logistic Regression #1: L1 SAGA,1,none,0.7665380188232108,0.9501379164014429,0.4164886800512601,0.4717465753424658,0.4324324324324324,6,357,813
Logistic Regression #1: L1 SAGA,1,none,0.7657255061277,0.9499257373223,0.4156343442973088,0.46875,0.4309309309309309,6,358,813
Logistic Regression #1: L1 SAGA,1,none,0.7651838309973593,0.9497135582431572,0.4122170012815036,0.4670376712328767,0.4399399399399399,6,359,813
Logistic Regression #1: L1 SAGA,1,none,0.7648452840408965,0.9500318268618714,0.4147800085433575,0.4644691780821918,0.4279279279279279,7,364,813
Logistic Regression #1: L1 SAGA,1,none,0.7636265149976301,0.9485465733078718,0.4160615121742845,0.464041095890411,0.4189189189189189,6,365,813
Logistic Regression #1: L1 SAGA,1,none,0.766199471866748,0.950456185020157,0.4160615121742845,0.4670376712328767,0.4384384384384384,6,362,813
Logistic Regression #1: L1 SAGA,1,none,0.7653192497799445,0.9499257373223,0.4126441691584793,0.4670376712328767,0.4384384384384384,6,360,813
Logistic Regression #1: L1 SAGA,1,none,0.7651838309973593,0.950456185020157,0.4083724903887227,0.4691780821917808,0.4354354354354354,5,359,813
Logistic Regression #1: L1 SAGA,1,none,0.766808856388381,0.952577975811585,0.4126441691584793,0.4636130136986301,0.4459459459459459,6,357,813
Logistic Regression #1: L1 SAGA,1,none,0.7664026000406257,0.9517292594950136,0.4109354976505767,0.4700342465753425,0.4324324324324324,6,357,813
Logistic Regression #2: L2 LBFGS,1,none,0.7649807028234816,0.9492892000848716,0.4177701836821871,0.4678938356164384,0.4189189189189189,6,358,813
Logistic Regression #2: L2 LBFGS,1,none,0.7649807028234816,0.9501379164014429,0.4122170012815036,0.4683219178082192,0.4249249249249249,6,360,813
Logistic Regression #2: L2 LBFGS,1,none,0.7646421558670188,0.9497135582431572,0.4164886800512601,0.464041095890411,0.4234234234234234,6,360,813
Logistic Regression #2: L2 LBFGS,1,none,0.7645744464757261,0.950456185020157,0.4156343442973088,0.4631849315068493,0.4174174174174174,7,365,813
Logistic Regression #2: L2 LBFGS,1,none,0.7641681901279708,0.9485465733078718,0.4164886800512601,0.4674657534246575,0.4174174174174174,6,360,813
Logistic Regression #2: L2 LBFGS,1,none,0.7659963436928702,0.9501379164014429,0.4156343442973088,0.4674657534246575,0.4384384384384384,6,361,813
Logistic Regression #2: L2 LBFGS,1,none,0.7651838309973593,0.9502440059410142,0.4143528406663819,0.4653253424657534,0.4309309309309309,6,360,813
Logistic Regression #2: L2 LBFGS,1,none,0.7644390276931411,0.9499257373223,0.4109354976505767,0.464041095890411,0.4354354354354354,5,359,813
Logistic Regression #2: L2 LBFGS,1,none,0.7667411469970885,0.951517080415871,0.4177701836821871,0.464041095890411,0.4399399399399399,7,355,813
Logistic Regression #2: L2 LBFGS,1,none,0.7672151127361365,0.9518353490345852,0.4156343442973088,0.4696061643835616,0.4339339339339339,6,354,813
Logistic Regression #3: L2 Newton-GC,1,none,0.7649807028234816,0.9492892000848716,0.4177701836821871,0.4678938356164384,0.4189189189189189,6,358,813
Logistic Regression #3: L2 Newton-GC,1,none,0.764912993432189,0.9500318268618714,0.4122170012815036,0.4683219178082192,0.4249249249249249,6,360,813
Logistic Regression #3: L2 Newton-GC,1,none,0.7647098652583113,0.9498196477827286,0.4164886800512601,0.464041095890411,0.4234234234234234,6,360,813
Logistic Regression #3: L2 Newton-GC,1,none,0.7645744464757261,0.950456185020157,0.4156343442973088,0.4631849315068493,0.4174174174174174,7,365,813
Logistic Regression #3: L2 Newton-GC,1,none,0.7640327713453856,0.9485465733078718,0.4164886800512601,0.4666095890410959,0.4174174174174174,6,361,813
Logistic Regression #3: L2 Newton-GC,1,none,0.7659963436928702,0.9501379164014429,0.4156343442973088,0.4674657534246575,0.4384384384384384,6,361,813
Logistic Regression #3: L2 Newton-GC,1,none,0.7651161216060668,0.9502440059410142,0.4139256727894062,0.4653253424657534,0.4309309309309309,6,360,813
Logistic Regression #3: L2 Newton-GC,1,none,0.7645067370844336,0.9503500954805856,0.4096539940196497,0.464041095890411,0.4354354354354354,5,360,813
Logistic Regression #3: L2 Newton-GC,1,none,0.7667411469970885,0.951517080415871,0.4177701836821871,0.464041095890411,0.4399399399399399,7,355,813
Logistic Regression #3: L2 Newton-GC,1,none,0.7672151127361365,0.9518353490345852,0.4156343442973088,0.4696061643835616,0.4339339339339339,6,354,813
Logistic Regression #4: L2 SAG,1,none,0.7649807028234816,0.9492892000848716,0.4177701836821871,0.4678938356164384,0.4189189189189189,6,358,813
Logistic Regression #4: L2 SAG,1,none,0.764912993432189,0.9500318268618714,0.4122170012815036,0.4683219178082192,0.4249249249249249,6,360,813
Logistic Regression #4: L2 SAG,1,none,0.7647098652583113,0.9498196477827286,0.4164886800512601,0.464041095890411,0.4234234234234234,6,360,813
Logistic Regression #4: L2 SAG,1,none,0.7645744464757261,0.950456185020157,0.4156343442973088,0.4631849315068493,0.4174174174174174,7,365,813
Logistic Regression #4: L2 SAG,1,none,0.7640327713453856,0.9485465733078718,0.4164886800512601,0.4666095890410959,0.4174174174174174,6,361,813
Logistic Regression #4: L2 SAG,1,none,0.7659963436928702,0.9501379164014429,0.4156343442973088,0.4674657534246575,0.4384384384384384,6,361,813
Logistic Regression #4: L2 SAG,1,none,0.7651161216060668,0.9502440059410142,0.4139256727894062,0.4653253424657534,0.4309309309309309,6,360,813
Logistic Regression #4: L2 SAG,1,none,0.7645067370844336,0.9503500954805856,0.4096539940196497,0.464041095890411,0.4354354354354354,5,360,813
Logistic Regression #4: L2 SAG,1,none,0.7667411469970885,0.951517080415871,0.4177701836821871,0.464041095890411,0.4399399399399399,7,355,813
Logistic Regression #4: L2 SAG,1,none,0.7672151127361365,0.9518353490345852,0.4156343442973088,0.4696061643835616,0.4339339339339339,6,354,813
Logistic Regression #5: L2 SAGA,1,none,0.7649807028234816,0.9492892000848716,0.4177701836821871,0.4678938356164384,0.4189189189189189,6,358,813
Logistic Regression #5: L2 SAGA,1,none,0.7649807028234816,0.9501379164014429,0.4122170012815036,0.4683219178082192,0.4249249249249249,6,360,813
Logistic Regression #5: L2 SAGA,1,none,0.7647098652583113,0.9498196477827286,0.4164886800512601,0.464041095890411,0.4234234234234234,6,360,813
Logistic Regression #5: L2 SAGA,1,none,0.7645744464757261,0.950456185020157,0.4156343442973088,0.4631849315068493,0.4174174174174174,7,365,813
Logistic Regression #5: L2 SAGA,1,none,0.7640327713453856,0.9485465733078718,0.4164886800512601,0.4666095890410959,0.4174174174174174,6,361,813
Logistic Regression #5: L2 SAGA,1,none,0.7659963436928702,0.9501379164014429,0.4156343442973088,0.4674657534246575,0.4384384384384384,6,361,813
Logistic Regression #5: L2 SAGA,1,none,0.7651161216060668,0.9502440059410142,0.4139256727894062,0.4653253424657534,0.4309309309309309,6,360,813
Logistic Regression #5: L2 SAGA,1,none,0.7645067370844336,0.9503500954805856,0.4096539940196497,0.464041095890411,0.4354354354354354,5,360,813
Logistic Regression #5: L2 SAGA,1,none,0.7667411469970885,0.951517080415871,0.4177701836821871,0.464041095890411,0.4399399399399399,7,355,813
Logistic Regression #5: L2 SAGA,1,none,0.7672151127361365,0.9518353490345852,0.4156343442973088,0.4696061643835616,0.4339339339339339,6,354,813
Logistic Regression #6: Elasticnet ratio=0.25,1,none,0.7650484122147742,0.9493952896244432,0.4164886800512601,0.4691780821917808,0.4189189189189189,6,359,813
Logistic Regression #6: Elasticnet ratio=0.25,1,none,0.7650484122147742,0.9502440059410142,0.4122170012815036,0.4683219178082192,0.4249249249249249,6,360,813
Logistic Regression #6: Elasticnet ratio=0.25,1,none,0.764912993432189,0.9500318268618714,0.4160615121742845,0.4648972602739726,0.4234234234234234,6,360,813
Logistic Regression #6: Elasticnet ratio=0.25,1,none,0.7647098652583113,0.9503500954805856,0.4152071764203331,0.4627568493150685,0.4249249249249249,7,364,813
Logistic Regression #6: Elasticnet ratio=0.25,1,none,0.7638296431715079,0.9484404837683004,0.4152071764203331,0.4670376712328767,0.4174174174174174,6,362,813
Logistic Regression #6: Elasticnet ratio=0.25,1,none,0.765860924910285,0.9501379164014429,0.4156343442973088,0.4670376712328767,0.4369369369369369,6,362,813
Logistic Regression #6: Elasticnet ratio=0.25,1,none,0.7653192497799445,0.9502440059410142,0.4147800085433575,0.4657534246575342,0.4309309309309309,6,359,813
Logistic Regression #6: Elasticnet ratio=0.25,1,none,0.7646421558670188,0.9502440059410142,0.410508329773601,0.4644691780821918,0.4354354354354354,5,360,813
Logistic Regression #6: Elasticnet ratio=0.25,1,none,0.7667411469970885,0.9516231699554424,0.4169158479282357,0.4644691780821918,0.4399399399399399,6,355,813
Logistic Regression #6: Elasticnet ratio=0.25,1,none,0.7670796939535514,0.9519414385741566,0.4143528406663819,0.4700342465753425,0.4324324324324324,6,355,813
Logistic Regression #7: Elasticnet ratio=0.5,1,none,0.764912993432189,0.9489709314661574,0.4160615121742845,0.4700342465753425,0.4204204204204204,6,359,813
Logistic Regression #7: Elasticnet ratio=0.5,1,none,0.7650484122147742,0.9503500954805856,0.4126441691584793,0.4678938356164384,0.4234234234234234,6,360,813
Logistic Regression #7: Elasticnet ratio=0.5,1,none,0.7655223779538222,0.950986632718014,0.4143528406663819,0.4653253424657534,0.4279279279279279,6,360,813
Logistic Regression #7: Elasticnet ratio=0.5,1,none,0.7644390276931411,0.9499257373223,0.4139256727894062,0.464041095890411,0.4249249249249249,7,365,813
